x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
23200,18000,100,35,24,1,1.8,1.24
10000,10000,20,49,30,0,1.2727272727272727,23.68
7200,24000,100,10,20,0,1.0,2.17
46000,14400,20,42,32,0,1.0294117647058822,155.21
23200,18000,20,51,24,0,2.8235294117647056,86.9
10000,10000,20,15,24,1,2.5625,38.98
30000,12000,80,10,34,1,2.25,3.47
10000,10000,50,39,34,0,1.0,3.03
10000,10000,20,48,22,0,1.0,25.43
46000,14400,20,24,20,1,1.6888888888888889,188.26
10000,10000,50,31,18,1,1.8333333333333333,2.74
46000,14400,50,40,28,0,1.1428571428571428,12.57
7200,24000,50,40,16,0,3.0,4.69
23200,18000,80,22,26,0,1.1,3.99
46000,14400,100,24,36,0,2.8,3.11
30000,12000,20,26,30,0,2.1739130434782608,140.83
23200,18000,20,55,36,0,1.25,88.01
46000,14400,100,35,18,0,2.5,2.79
46000,14400,20,58,30,1,1.625,64.99
46000,14400,50,24,32,1,4.2222222222222205,10.69
30000,12000,20,36,14,0,2.2142857142857144,156.43
10000,10000,50,12,20,1,2.5,4.43
10000,10000,20,24,30,1,1.25,23.97
7200,24000,50,48,28,0,1.8,3.54
46000,14400,20,13,36,1,4.703703703703703,273.04
46000,14400,20,24,30,0,1.425,263.29
23200,18000,20,25,14,0,2.2777777777777777,249.75
46000,14400,20,42,22,1,1.6875,98.88
10000,10000,20,35,20,0,3.5,33.28
23200,18000,80,11,24,1,2.888888888888889,4.2
23200,18000,50,22,28,1,1.0,8.16
7200,24000,100,10,14,0,3.0,2.55
7200,24000,80,19,18,0,3.0,2.51
7200,24000,20,36,24,0,1.875,48.65
7200,24000,50,12,26,1,1.5,6.16
30000,12000,20,28,36,1,1.1071428571428572,74.06
7200,24000,20,51,24,0,2.727272727272727,36.21
46000,14400,80,14,26,1,1.5384615384615383,5.05
10000,10000,20,55,18,0,1.0666666666666669,24.91
23200,18000,20,44,26,1,2.2,56.85
30000,12000,50,35,24,0,4.166666666666667,8.46
23200,18000,50,11,36,0,1.5625,22.7
23200,18000,80,54,14,0,2.1666666666666665,2.93
30000,12000,50,42,24,0,3.5,7.73
30000,12000,80,16,36,0,1.375,4.38
23200,18000,50,48,18,0,4.833333333333333,8.38
30000,12000,20,48,22,0,2.5,83.61
23200,18000,80,19,16,1,1.6363636363636365,3.51
7200,24000,50,40,20,0,1.0,4.39
7200,24000,50,42,18,0,1.7142857142857142,4.34
7200,24000,50,28,34,1,1.4285714285714286,2.94
46000,14400,80,58,24,1,1.8333333333333333,2.17
30000,12000,20,23,24,1,2.3846153846153846,90.32
10000,10000,20,15,36,0,1.6875,61.33
23200,18000,20,42,36,0,3.4285714285714284,95.89
7200,24000,50,54,28,1,1.6,2.27
10000,10000,20,51,24,0,2.2222222222222223,23.75
10000,10000,20,58,14,1,4.375,18.3
7200,24000,50,15,16,0,4.5,10.46
46000,14400,100,12,18,1,1.1875,3.75
7200,24000,50,45,14,1,2.6666666666666665,3.57
46000,14400,100,36,28,1,1.5,1.82
46000,14400,80,50,34,0,1.1428571428571428,3.2
46000,14400,20,60,24,1,1.2666666666666666,67.6
46000,14400,80,30,24,1,1.6666666666666667,2.99
10000,10000,20,32,32,0,1.0,32.61
23200,18000,80,30,16,0,2.571428571428572,3.96
23200,18000,20,56,32,1,2.9285714285714284,43.82
23200,18000,50,32,34,0,1.4,9.7
10000,10000,20,20,22,0,4.545454545454546,52.97
7200,24000,50,24,24,1,2.2857142857142856,3.96
23200,18000,80,30,16,1,4.8,2.74
46000,14400,50,11,34,1,4.153846153846153,22.26
30000,12000,100,15,22,0,4.0,2.8
7200,24000,50,49,36,1,1.2,2.48
46000,14400,20,24,24,0,3.1666666666666665,280.2
46000,14400,50,20,18,1,2.0,16.13
10000,10000,20,15,36,1,2.5384615384615383,32.53
10000,10000,20,28,34,0,5.0,36.24
30000,12000,20,34,34,1,2.588235294117647,54.15
10000,10000,80,12,30,1,1.0,1.37
23200,18000,50,42,36,0,2.6666666666666665,8.21
7200,24000,20,53,26,1,2.4545454545454546,22.44
10000,10000,20,38,30,1,3.125,16.61
7200,24000,50,42,32,1,1.8,2.41
30000,12000,50,60,36,0,1.8333333333333333,5.9
30000,12000,20,15,28,0,2.3666666666666667,228.97
23200,18000,20,18,24,1,2.1818181818181817,134.66
10000,10000,50,19,20,1,4.0,3.26
30000,12000,50,33,16,1,2.7,6.82
23200,18000,100,22,24,1,2.8,1.73
10000,10000,20,12,20,0,1.064516129032258,91.23
10000,10000,20,36,14,0,1.15,42.91
23200,18000,50,37,34,0,1.2,8.92
46000,14400,100,41,20,0,1.5714285714285714,2.28
10000,10000,80,10,24,1,1.6666666666666667,1.5
10000,10000,20,34,32,1,4.428571428571429,19.3
10000,10000,100,12,24,0,1.2,1.22
23200,18000,80,60,16,0,2.4,2.62
23200,18000,20,21,30,0,4.1,189.38
23200,18000,20,30,28,1,1.1875,77.32
10000,10000,20,30,18,1,2.5384615384615383,25.09
23200,18000,20,47,32,1,1.8947368421052635,49.73
7200,24000,20,45,30,0,4.5,39.16
30000,12000,20,34,14,1,4.190476190476192,95.0
7200,24000,50,23,26,0,1.1,6.28
46000,14400,80,44,16,1,2.125,2.99
30000,12000,50,34,16,1,1.2857142857142858,6.75
30000,12000,20,52,28,0,4.818181818181818,75.06
7200,24000,80,15,18,0,1.0,2.81
7200,24000,50,14,30,1,1.2727272727272727,5.18
30000,12000,50,57,24,1,2.6666666666666665,4.15
10000,10000,20,60,32,1,5.0,12.62
30000,12000,20,45,36,1,1.35,41.74
46000,14400,100,39,32,1,1.3333333333333333,1.46
23200,18000,20,51,26,0,2.588235294117647,86.93
7200,24000,100,15,14,1,2.0,1.41
23200,18000,50,54,18,1,1.7,4.99
7200,24000,20,10,32,1,1.5,82.83
46000,14400,80,14,26,0,1.5384615384615383,8.09
30000,12000,80,20,24,1,3.0,2.69
7200,24000,20,23,14,1,1.9615384615384608,62.85
46000,14400,50,30,14,1,1.5,14.59
23200,18000,20,40,18,0,4.27777777777778,127.89
46000,14400,50,48,34,0,4.5,10.37
7200,24000,50,36,14,1,3.333333333333333,3.99
7200,24000,50,24,24,0,4.8,6.18
10000,10000,50,21,20,1,3.2,3.08
7200,24000,80,18,20,1,1.8333333333333333,1.69
30000,12000,20,25,28,0,1.4,143.15
46000,14400,50,46,32,0,1.1666666666666667,11.31
30000,12000,20,17,24,1,1.7714285714285714,120.67
23200,18000,80,17,22,0,1.0,5.01
7200,24000,80,12,22,0,1.2222222222222223,3.02
7200,24000,20,45,18,0,1.0909090909090908,46.77
10000,10000,20,54,30,0,1.181818181818182,21.77
7200,24000,20,30,24,1,3.4615384615384617,34.87
23200,18000,50,30,34,0,1.0833333333333333,10.15
7200,24000,20,48,32,0,3.333333333333333,37.86
10000,10000,20,60,34,1,1.75,11.9
10000,10000,50,18,24,0,1.7142857142857142,4.88
10000,10000,50,24,36,1,1.6,2.5
30000,12000,20,28,34,0,3.117647058823529,121.64
7200,24000,20,27,16,1,3.75,49.29
7200,24000,20,46,36,1,3.75,21.83
46000,14400,50,35,24,0,2.1666666666666665,14.55
46000,14400,100,11,34,0,1.0,5.29
46000,14400,20,48,22,0,1.46875,155.09
46000,14400,80,18,14,0,1.0,9.48
7200,24000,50,39,36,0,1.3333333333333333,4.36
30000,12000,50,25,32,1,5.0,6.44
23200,18000,100,36,22,1,1.8,1.34
7200,24000,80,25,18,0,1.5,2.08
46000,14400,20,54,20,1,1.1666666666666667,85.07
7200,24000,50,35,24,1,1.25,2.86
7200,24000,50,35,16,1,3.333333333333333,3.81
46000,14400,20,57,30,0,1.6666666666666667,116.87
7200,24000,50,50,36,0,1.4,4.12
7200,24000,50,40,14,0,3.333333333333333,5.26
7200,24000,20,48,36,0,3.75,37.53
10000,10000,20,29,18,0,1.5882352941176472,41.54
23200,18000,50,26,24,1,1.1333333333333333,7.4
10000,10000,20,18,30,0,1.6875,52.59
46000,14400,100,17,30,1,1.875,2.46
46000,14400,20,55,22,0,1.28125,136.55
7200,24000,80,10,34,0,1.125,3.42
46000,14400,50,48,24,0,2.7777777777777777,10.99
