grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
80,11,30,0,1.6,3,7.049999999999999
20,60,22,1,2.2222222222222223,37,528.09
50,60,16,1,1.0,72,162.3
20,35,36,1,1.0769230769230769,68,1172.61
80,14,22,0,1.6,134,250.24000000000004
20,48,28,0,2.5,134,3110.59
20,40,28,1,1.0714285714285714,69,1147.72
20,57,24,1,1.0,43,580.16
50,18,32,1,2.4,125,364.27
20,23,20,0,5.0,66,3080.42
50,20,24,0,2.0,120,551.88
50,12,30,1,2.6666666666666665,16,60.58
20,40,30,0,2.0,115,3063.42
50,32,36,0,1.2,131,456.48
50,34,34,1,1.0,60,124.33
20,21,34,0,1.6428571428571428,117,5218.43
20,30,20,1,1.0,119,2781.53
20,12,14,1,1.1714285714285717,72,5215.91
20,48,26,1,2.2222222222222223,97,1438.94
80,12,34,1,1.4,31,42.73
20,32,30,0,1.0666666666666669,96,3148.34
20,50,36,0,5.0,139,3288.22
20,39,30,0,3.8571428571428568,68,1873.1
20,30,14,0,1.0869565217391304,19,927.11
20,50,36,1,1.3,50,628.8600000000001
50,24,14,0,1.75,36,180.38
100,10,14,0,1.4285714285714286,93,151.88000000000005
20,48,32,0,2.8571428571428568,100,2380.6600000000008
20,36,28,0,1.3076923076923077,32,923.05
20,29,34,0,1.2142857142857142,70,2360.84
80,14,24,0,1.4,122,218.87
50,46,14,0,1.1428571428571428,8,27.770000000000003
20,50,22,1,2.7777777777777777,111,1623.94
50,54,20,0,1.4,30,76.27
50,13,14,0,4.0,135,1131.29
50,15,28,1,1.1111111111111112,53,177.39999999999995
20,13,28,0,2.235294117647059,84,5956.82
50,31,16,0,2.0,34,134.97
100,10,34,0,1.0,107,142.72000000000003
20,45,20,1,4.125,23,397.85
20,27,32,1,1.2,71,1791.11
20,45,14,0,1.4375,62,2122.33
20,57,18,0,3.375,36,835.55
20,27,28,1,1.0588235294117647,36,824.7199999999998
50,39,20,1,1.1666666666666667,78,182.52
50,21,16,0,1.75,16,80.12
20,40,30,0,3.125,29,778.5600000000002
20,49,36,0,1.3,126,2826.82
50,33,32,0,1.0,111,349.19
80,27,16,0,1.2,6,11.95
50,14,16,1,1.1666666666666667,9,42.6
50,29,16,0,2.0,104,417.5
50,60,16,1,1.0,132,298.68
20,18,16,0,1.148148148148148,74,5118.620000000001
50,39,22,0,1.8,119,345.16
80,21,22,0,1.0,42,64.03
20,45,30,1,1.8,84,1179.2500000000002
20,49,16,0,3.1,87,2608.100000000001
50,20,34,0,2.2,128,546.78
20,35,36,1,3.571428571428572,24,401.58999999999986
80,19,16,1,1.1666666666666667,85,118.4
20,28,28,1,1.0,125,2646.52
50,13,30,1,1.8571428571428568,112,394.59
80,30,20,1,1.0,121,126.7
50,57,20,1,1.2,70,141.66
20,54,32,0,2.5714285714285716,20,478.9
50,22,34,0,1.8,37,146.17
20,41,36,0,1.0833333333333333,131,3384.95
20,12,36,1,1.35,85,3253.76
50,38,36,1,1.0,70,146.17999999999995
50,19,24,1,1.25,63,203.67
20,12,22,1,4.133333333333334,112,5451.99
20,40,30,0,3.125,33,885.2
50,14,14,0,1.0,32,246.04
80,27,16,1,1.2,108,129.25
50,20,18,1,4.4,82,256.12
20,51,34,0,1.5555555555555556,77,1783.44
20,33,20,0,4.5555555555555545,127,4418.409999999999
80,10,32,0,1.1666666666666667,54,119.38
50,36,14,1,1.125,28,83.19
50,40,16,1,1.6666666666666667,4,12.97
80,25,16,0,1.0,20,31.68
50,44,18,0,1.3333333333333333,37,107.45
20,20,36,0,3.3,29,1502.84
20,36,16,0,2.3846153846153846,31,1129.46
50,24,24,1,1.8333333333333333,68,190.59
20,19,18,0,4.230769230769232,135,8043.78
80,22,14,1,1.6,14,19.34
20,54,26,1,2.1111111111111107,129,1767.18
20,30,24,0,2.8181818181818183,37,1275.64
20,39,32,1,2.2222222222222223,1,20.58
20,52,18,0,1.4615384615384617,136,3438.38
50,52,16,1,1.1666666666666667,6,16.64
20,15,18,1,2.7777777777777777,97,4333.700000000002
20,45,28,1,1.0769230769230769,73,1111.93
80,18,14,1,2.0,36,50.01
20,56,26,1,2.375,77,982.76
20,55,36,0,2.2857142857142856,107,2403.71
20,15,32,0,2.2,92,5988.1100000000015
20,50,18,0,2.7,84,2104.73
20,17,18,0,1.0740740740740742,9,600.8000000000002
20,50,32,1,1.0,28,390.87
20,42,36,0,3.8333333333333335,67,1711.59
20,30,14,1,2.1875,59,1770.93
80,36,14,1,1.0,24,27.680000000000003
20,53,16,1,3.4444444444444446,116,1982.13
50,37,36,0,1.0,69,226.44
20,32,30,1,2.5,117,2238.82
20,44,24,1,4.428571428571429,91,1482.14
20,35,34,0,4.142857142857143,67,1983.45
20,34,16,1,2.2142857142857144,20,485.02
20,28,30,1,4.125,29,601.04
80,25,22,1,1.0,26,29.01
50,22,24,1,1.125,22,65.5
20,23,16,1,1.4761904761904765,1,39.03
20,21,32,1,1.1764705882352942,4,104.77
20,26,24,1,3.8,5,124.13
80,11,26,1,1.8,84,120.24
20,12,30,0,1.08,25,2138.81
20,31,18,1,1.6875,64,1537.6999999999996
20,43,20,0,2.272727272727273,6,170.18
20,32,28,0,1.1333333333333333,69,2204.3
50,25,14,0,4.0,79,406.09
50,18,28,0,2.8,94,442.3
20,38,14,1,2.6923076923076925,35,900.6500000000002
50,15,14,0,2.2222222222222223,2,17.01
50,24,32,0,1.3333333333333333,24,99.29
50,22,14,1,2.5714285714285716,103,368.13
50,10,30,1,1.3,98,415.67000000000013
100,15,14,0,1.1666666666666667,94,126.54
20,17,18,1,3.928571428571429,138,5498.62
20,12,16,0,1.3225806451612905,63,6775.17
20,18,28,1,3.727272727272727,27,840.4200000000002
80,18,16,0,1.1666666666666667,56,105.81000000000002
100,10,18,0,2.2,40,56.39999999999999
50,52,18,1,1.6,41,89.37
80,12,30,0,1.0,7,14.52
20,18,20,0,3.8461538461538463,75,4352.06
20,56,32,1,1.875,134,1623.61
50,13,16,0,1.25,42,317.97
20,51,18,0,3.2222222222222223,116,3001.53
80,19,14,1,1.3333333333333333,14,22.49
50,14,36,0,2.8,132,739.3
50,35,30,1,1.2,69,145.23
50,20,34,1,2.0,130,326.83
20,56,26,0,2.375,18,389.46
20,60,24,0,2.5,89,1859.1
20,24,24,1,4.1,72,1905.55
50,26,32,1,1.1666666666666667,123,328.94000000000005
50,30,32,0,1.6,76,289.54
50,57,26,1,1.0,92,171.06
50,39,20,0,1.1666666666666667,116,359.88
20,58,18,1,1.3076923076923077,89,1324.98
20,54,24,0,4.5,8,178.77
20,34,30,1,1.1428571428571428,113,2037.92
20,27,34,0,3.2222222222222223,4,147.38
20,38,20,1,2.1666666666666665,49,930.02
50,20,22,0,1.1111111111111112,124,551.8100000000002
20,32,34,1,4.428571428571429,42,789.7500000000001
20,38,18,0,2.0769230769230766,44,1414.6799999999996
50,22,18,0,1.2222222222222223,89,389.48
50,14,26,0,2.142857142857143,71,399.0
50,26,16,1,2.5,82,267.17
50,17,16,1,1.0909090909090908,55,231.3
80,19,18,0,1.0,110,185.89
20,46,30,1,3.571428571428572,87,1266.8300000000004
20,49,36,0,1.0,15,347.9
20,21,36,0,3.888888888888889,107,4878.469999999998
20,49,18,0,2.7,26,709.09
50,18,18,1,1.0,102,372.13
20,11,36,0,1.2272727272727273,89,7192.660000000002
20,55,20,1,2.2,75,1053.38
80,33,16,1,1.0,135,146.75
20,28,20,1,2.9166666666666665,119,2916.43
20,34,28,1,5.0,105,2093.09
20,14,30,0,4.545454545454546,112,7343.64
100,14,14,1,1.0,123,129.45000000000002
20,44,32,1,3.1428571428571432,78,1140.56
20,24,18,0,1.7222222222222223,45,2166.14
80,23,24,0,1.0,97,146.5
20,30,16,0,1.25,137,5920.46
80,16,14,0,1.1428571428571428,139,292.09
20,10,28,1,2.9411764705882355,37,1827.8
