grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
20,35,30,0,4.714285714285714,36.14
50,17,36,1,2.2,7.14
50,31,22,1,1.5,3.94
50,48,22,1,1.0,3.77
20,38,34,1,3.7142857142857135,23.48
20,15,32,0,3.4166666666666665,65.93
20,35,30,0,2.3,33.52
20,23,14,1,1.6666666666666667,41.48
50,60,16,1,1.0,6.1
50,18,22,1,2.6666666666666665,4.43
50,39,32,0,1.2,4.91
20,15,32,0,5.0,68.89
50,32,30,0,1.0,5.4
20,29,32,0,1.1333333333333333,39.71
20,36,28,1,1.818181818181818,21.75
20,31,26,0,1.1875,39.65
20,48,14,0,1.1764705882352942,36.84
50,18,26,0,3.0,7.26
20,35,30,1,1.818181818181818,21.47
20,55,16,1,3.4444444444444446,20.85
50,27,28,1,1.0,4.58
20,59,22,1,2.75,18.79
20,22,30,1,3.0,32.45
50,36,28,1,1.4,3.95
20,27,36,1,3.0,26.24
20,12,30,1,3.8461538461538463,47.3
20,35,36,1,1.5454545454545454,21.13
20,24,22,1,1.1,30.92
20,55,24,0,3.571428571428572,28.58
20,10,30,1,3.125,53.09
20,28,36,0,1.818181818181818,41.44
20,26,30,0,1.1875,45.9
50,15,32,0,1.25,6.63
20,50,34,0,2.8571428571428568,41.68
20,37,32,0,1.1538461538461535,35.58
50,40,16,0,2.4,6.12
50,38,16,1,1.6666666666666667,4.37
20,25,30,0,1.25,42.71
80,11,18,1,1.8333333333333333,2.48
50,31,32,1,1.0,4.64
20,57,34,0,1.75,25.98
80,16,18,0,1.1666666666666667,2.87
20,14,30,1,1.9411764705882355,40.84
50,11,28,1,1.5555555555555556,5.39
50,44,18,0,1.3333333333333333,4.85
50,31,30,1,1.0,9.66
20,56,24,1,2.5,17.3
20,55,28,0,3.1428571428571432,28.02
50,12,20,1,1.0833333333333333,6.42
20,36,20,1,1.9230769230769231,26.4
20,33,28,0,2.090909090909091,38.13
50,40,20,0,2.0,7.11
20,50,34,0,5.0,27.7
50,40,24,0,1.0,5.3
20,42,20,0,1.9166666666666667,32.65
20,45,36,0,1.181818181818182,31.36
50,11,30,1,1.4444444444444444,6.83
20,54,20,0,2.7777777777777777,32.49
20,38,22,1,2.363636363636364,22.4
50,18,32,1,1.8333333333333333,4.38
20,35,30,1,4.714285714285714,23.84
80,10,36,0,1.0,3.21
20,14,18,1,3.2352941176470584,50.08
20,18,16,1,1.148148148148148,48.57
50,20,30,0,1.0,5.9
20,11,30,1,2.8125,48.05
20,51,16,0,1.4285714285714286,32.27
20,21,24,0,1.5882352941176472,50.84
20,36,36,1,1.8,22.72
80,12,36,0,1.2,3.49
20,51,36,0,2.571428571428572,29.04
50,16,36,1,1.8333333333333333,6.37
20,35,36,0,3.571428571428572,52.63
20,34,36,1,1.0769230769230769,23.67
20,27,26,1,4.2222222222222205,28.6
50,22,32,0,1.5,5.51
20,44,30,0,2.75,31.2
50,35,24,1,1.6,3.95
20,31,28,1,1.0625,26.38
20,15,30,0,2.0625,67.49
20,54,16,1,1.5384615384615383,34.84
50,10,32,0,5.0,8.92
20,45,20,1,1.0,21.52
50,29,16,1,2.0,14.82
50,28,24,0,1.1428571428571428,5.16
20,24,26,1,4.5555555555555545,29.79
20,38,16,1,2.3846153846153846,27.29
20,10,22,1,1.8,76.96
20,13,32,1,1.631578947368421,41.29
50,18,24,0,1.375,10.09
20,20,24,0,2.2,53.33
20,13,28,0,1.8421052631578947,76.56
50,51,26,0,1.0,4.78
50,14,34,0,1.5714285714285714,6.97
20,38,24,1,1.5384615384615383,21.9
20,45,16,1,1.25,23.76
50,23,24,1,1.0,5.98
20,18,36,1,4.5555555555555545,35.33
20,44,24,0,4.428571428571429,33.37
50,13,14,0,1.0714285714285714,10.38
50,28,32,0,1.1666666666666667,5.46
20,54,24,1,4.5,31.34
20,21,32,1,3.5,30.37
20,42,18,1,1.7692307692307692,22.29
20,25,24,0,4.1,44.75
50,55,24,1,1.2,4.12
50,11,20,0,2.2222222222222223,8.41
20,32,28,1,3.875,24.51
20,35,32,0,3.125,33.65
50,27,20,1,1.8333333333333333,4.17
50,19,18,1,1.1,5.28
80,24,22,1,1.0,2.63
50,25,28,0,1.1428571428571428,5.18
20,54,26,0,1.0833333333333333,26.61
20,33,36,1,1.1538461538461535,62.71
20,18,18,1,2.2777777777777777,43.64
80,36,14,0,1.0,3.21
20,60,26,0,2.375,36.1
20,48,20,1,4.714285714285714,20.77
20,60,36,0,1.1,29.26
20,13,26,1,2.0,47.32
20,46,30,1,1.6,21.54
20,38,36,0,1.0,33.8
20,15,28,0,2.9285714285714284,68.08
50,22,36,0,1.8,5.36
50,18,26,0,3.2,11.94
50,13,18,0,3.1428571428571432,8.07
20,25,36,0,4.125,46.11
20,43,32,0,1.3636363636363635,31.77
20,21,28,1,3.1818181818181817,32.78
50,29,34,1,1.2,3.96
50,10,36,1,4.4,7.08
20,31,20,0,1.5625,40.95
20,34,26,0,3.2222222222222223,38.58
20,60,36,0,3.0,28.16
20,13,24,0,2.1578947368421053,82.95
20,34,20,0,1.7857142857142858,39.12
20,45,14,0,3.1818181818181817,37.91
20,50,24,1,1.3333333333333333,19.25
20,35,36,1,2.875,22.67
20,51,28,0,1.8888888888888888,31.25
100,19,20,0,1.0,2.61
20,53,16,1,3.4444444444444446,21.38
50,12,24,1,1.0909090909090908,5.36
20,13,16,0,1.2258064516129032,102.62
50,16,22,0,3.0,7.88
20,48,16,1,3.1,24.39
20,32,34,0,4.428571428571429,38.48
50,15,14,1,1.0769230769230769,5.99
50,30,20,1,1.0,7.45
20,26,14,0,2.235294117647059,60.39
20,41,30,1,1.3333333333333333,20.67
20,23,30,1,3.3,28.55
20,42,20,1,1.9166666666666667,22.06
50,18,14,1,3.1428571428571432,5.24
20,58,30,1,5.0,21.8
20,18,32,0,1.8,56.46
50,18,24,1,1.375,6.01
50,32,28,1,1.1666666666666667,5.22
50,20,16,0,1.2,8.24
20,52,30,1,4.166666666666667,19.15
20,12,20,1,1.64,53.69
80,18,14,1,2.0,2.76
20,41,34,0,1.1666666666666667,30.4
50,15,32,0,3.2,7.91
20,27,24,1,2.0769230769230766,28.89
80,33,14,1,1.0,10.61
20,44,36,0,2.8571428571428568,31.27
80,12,22,1,2.0,2.37
20,17,18,1,3.928571428571429,46.02
20,56,14,0,1.0,33.7
20,52,36,1,3.333333333333333,29.58
50,37,22,1,1.8,5.56
20,19,18,0,4.230769230769232,64.08
100,10,18,0,2.2,2.19
20,52,34,0,2.7142857142857144,41.1
20,16,36,0,2.3846153846153846,60.1
20,48,26,0,1.9,29.0
50,19,18,0,1.1,6.36
20,18,18,0,4.230769230769232,65.68
50,36,20,1,2.2,3.83
50,54,16,1,1.6,3.9
50,11,16,1,2.7777777777777777,6.33
80,18,16,1,1.1666666666666667,2.93
20,46,26,1,1.9,22.06
20,54,26,1,2.0,18.22
20,27,32,0,1.5384615384615383,40.89
20,42,36,1,2.25,20.71
20,16,36,1,2.3846153846153846,34.21
50,38,34,1,1.0,5.4
20,51,24,1,2.2222222222222223,20.38
50,24,18,0,1.375,5.89
50,33,36,0,1.2,5.11
20,33,32,0,1.0,37.56
50,16,20,1,1.2,7.68
20,34,20,1,1.7857142857142858,27.91
50,22,18,1,3.6,5.82
20,56,32,0,2.4285714285714284,29.26
50,22,30,1,1.6666666666666667,5.32
20,28,36,1,2.3,25.36
80,15,28,1,1.2,3.04
20,25,18,1,2.0625,32.34
50,10,36,1,1.1,6.32
50,18,28,1,1.5714285714285714,5.87
20,49,22,0,2.2,29.48
20,32,22,0,1.4666666666666666,38.56
20,13,14,0,1.0857142857142856,120.97
50,30,20,0,1.0,5.72
50,60,16,0,1.0,4.72
100,14,16,1,1.1666666666666667,1.91
20,39,28,1,1.4166666666666667,21.9
50,39,20,1,1.1666666666666667,3.88
80,17,22,0,1.4,2.82
20,30,20,0,1.5625,41.51
20,50,16,1,3.1,21.11
50,31,16,0,2.0,5.28
20,49,16,0,4.375,33.64
50,48,30,1,1.0,6.23
20,29,30,1,4.125,26.5
50,26,18,0,1.5714285714285714,5.22
50,38,18,1,2.2,4.92
20,58,32,1,1.875,20.53
20,51,16,1,1.4285714285714286,21.93
50,10,34,0,4.0,9.68
50,36,14,0,2.8,5.2
20,15,30,0,4.545454545454546,71.49
50,37,28,0,1.4,4.47
20,27,24,1,4.5555555555555545,27.8
20,45,22,1,3.0,21.04
80,22,18,0,1.2,2.67
20,42,26,0,1.4166666666666667,30.85
50,20,36,0,2.2,5.61
50,32,24,1,1.3333333333333333,4.05
100,12,20,0,1.0,7.84
20,12,36,1,3.1538461538461537,47.31
20,44,18,1,1.3333333333333333,27.42
20,11,34,0,3.2142857142857144,94.66
20,12,30,0,3.8461538461538463,80.08
20,56,26,1,2.375,19.84
50,12,14,0,3.5,10.26
20,33,36,0,3.8571428571428568,39.36
20,30,24,0,3.3,39.13
50,14,36,1,1.5714285714285714,5.31
50,22,14,1,1.5555555555555556,5.55
50,46,18,0,1.6,6.38
80,36,14,1,1.0,2.84
20,49,24,0,1.5454545454545454,27.71
20,45,22,0,3.0,31.99
50,36,30,1,1.4,3.79
50,11,34,1,1.2222222222222223,6.18
20,17,26,0,1.5263157894736843,64.58
20,57,34,1,1.4444444444444444,24.84
50,25,18,0,1.375,5.2
50,30,20,0,1.6666666666666667,5.27
20,34,20,0,2.4166666666666665,39.02
20,15,16,0,1.064516129032258,87.06
50,18,30,0,1.4285714285714286,7.19
20,18,16,0,2.05,76.23
20,12,28,0,2.411764705882353,80.7
50,26,14,1,2.0,4.52
50,16,18,1,3.6666666666666665,6.38
50,31,36,0,1.2,15.09
20,25,28,0,1.1764705882352942,43.56
20,28,24,1,3.5,28.53
20,60,34,1,1.3333333333333333,21.7
20,27,14,1,1.173913043478261,36.68
20,11,32,1,1.4090909090909092,49.53
80,14,14,1,1.0,2.74
20,43,22,0,2.0,31.58
50,11,22,1,2.0,5.45
20,41,26,1,1.5833333333333333,23.03
20,48,16,0,3.1,34.69
20,48,20,1,1.0666666666666669,20.63
20,36,14,0,2.6923076923076925,44.49
50,56,14,1,1.0,5.52
50,27,28,0,1.0,5.42
80,12,14,0,3.4,8.13
20,53,34,1,1.5555555555555556,18.18
50,17,16,0,5.0,7.37
20,34,36,0,2.2222222222222223,36.22
20,12,24,0,2.05,83.82
20,54,16,0,3.4444444444444446,32.81
20,60,16,1,4.714285714285714,21.66
20,33,32,1,2.2,24.15
80,16,16,1,1.0,3.34
20,49,36,0,1.0,28.14
20,21,18,1,5.0,37.99
80,15,22,1,1.6,3.01
20,32,30,1,4.714285714285714,24.87
50,42,26,1,1.4,4.85
50,18,22,1,1.2222222222222223,4.67
50,15,18,1,2.8571428571428568,7.29
100,16,16,1,1.0,2.05
80,24,16,0,1.4,2.64
20,57,22,1,2.75,18.1
20,46,26,0,1.9,41.53
20,10,26,1,1.52,57.13
20,28,26,1,3.888888888888889,29.2
20,24,24,1,1.8,29.33
50,39,20,1,2.0,4.12
50,28,28,1,1.0,4.85
20,21,26,0,2.9166666666666665,50.6
50,21,24,0,2.8,5.73
20,15,14,1,2.1739130434782608,58.96
20,58,14,1,1.0,24.54
20,47,20,1,2.5,23.69
