x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration,jobdir,time0,time1,time2
10000,10000,20,500,500,12,16,192,62,20,8,24,3.1,1,1,140.4243937232525,10000_10000_020_12_16_1_1_008_024,3.35,63.69,59.07
10000,10000,20,500,500,12,18,216,41,27,12,18,1.5185185185185186,0,1,178.31669044222542,10000_10000_020_12_18_0_1_012_018,1.75,95.7,92.21
10000,10000,20,500,500,12,18,216,41,27,12,18,1.5185185185185186,1,1,124.82168330955778,10000_10000_020_12_18_1_1_012_018,1.65,57.58,54.5
10000,10000,20,500,500,12,18,216,55,20,9,24,2.75,0,1,178.31669044222542,10000_10000_020_12_18_0_1_009_024,2.53,96.11,91.66
10000,10000,20,500,500,12,18,216,55,20,9,24,2.75,1,1,124.82168330955778,10000_10000_020_12_18_1_1_009_024,3.15,59.14,53.89
10000,10000,20,500,500,12,18,216,62,18,8,27,3.4444444444444446,0,1,178.31669044222542,10000_10000_020_12_18_0_1_008_027,2.47,97.21,91.94
10000,10000,20,500,500,12,18,216,62,18,8,27,3.4444444444444446,1,1,124.82168330955778,10000_10000_020_12_18_1_1_008_027,3.84,59.8,54.21
10000,10000,20,500,500,12,20,240,33,31,15,16,1.064516129032258,0,1,160.48502139800289,10000_10000_020_12_20_0_1_015_016,4.9,95.49,91.23
10000,10000,20,500,500,12,20,240,33,31,15,16,1.064516129032258,1,1,112.33951497860201,10000_10000_020_12_20_1_1_015_016,2.37,55.67,51.53
10000,10000,20,500,500,12,20,240,41,25,12,20,1.64,0,1,160.48502139800289,10000_10000_020_12_20_0_1_012_020,4.22,93.5,87.47
10000,10000,20,500,500,12,20,240,41,25,12,20,1.64,1,1,112.33951497860201,10000_10000_020_12_20_1_1_012_020,1.72,53.69,50.52
10000,10000,20,500,500,12,20,240,50,20,10,24,2.5,0,1,160.48502139800289,10000_10000_020_12_20_0_1_010_024,3.07,91.77,86.59
10000,10000,20,500,500,12,20,240,50,20,10,24,2.5,1,1,112.33951497860201,10000_10000_020_12_20_1_1_010_024,4.28,57.99,52.41
10000,10000,20,500,500,12,20,240,62,16,8,30,3.875,0,1,160.48502139800289,10000_10000_020_12_20_0_1_008_030,5.1,95.01,87.65
10000,10000,20,500,500,12,20,240,62,16,8,30,3.875,1,1,112.33951497860201,10000_10000_020_12_20_1_1_008_030,6.88,66.18,51.6
10000,10000,20,500,500,12,22,264,41,22,12,22,1.8636363636363635,0,1,145.89547399818449,10000_10000_020_12_22_0_1_012_022,3.8,88.67,82.88
10000,10000,20,500,500,12,22,264,41,22,12,22,1.8636363636363635,1,1,102.12683179872913,10000_10000_020_12_22_1_1_012_022,3.49,53.01,47.56
10000,10000,20,500,500,12,22,264,45,20,11,24,2.25,0,1,145.89547399818449,10000_10000_020_12_22_0_1_011_024,4.1,88.89,82.66
10000,10000,20,500,500,12,22,264,45,20,11,24,2.25,1,1,102.12683179872913,10000_10000_020_12_22_1_1_011_024,2.74,52.09,49.58
10000,10000,20,500,500,12,22,264,62,15,8,33,4.133333333333334,0,1,145.89547399818449,10000_10000_020_12_22_0_1_008_033,3.72,88.57,82.88
10000,10000,20,500,500,12,22,264,62,15,8,33,4.133333333333334,1,1,102.12683179872913,10000_10000_020_12_22_1_1_008_033,14.86,67.38,48.51
10000,10000,20,500,500,12,24,288,31,27,16,18,1.148148148148148,0,1,133.7375178316691,10000_10000_020_12_24_0_1_016_018,3.57,86.89,81.23
10000,10000,20,500,500,12,24,288,31,27,16,18,1.148148148148148,1,1,93.61626248216835,10000_10000_020_12_24_1_1_016_018,12.98,66.95,47.37
10000,10000,20,500,500,12,24,288,41,20,12,24,2.05,0,1,133.7375178316691,10000_10000_020_12_24_0_1_012_024,1.97,83.82,80.8
10000,10000,20,500,500,12,24,288,41,20,12,24,2.05,1,1,93.61626248216835,10000_10000_020_12_24_1_1_012_024,3.23,50.16,45.3
10000,10000,20,500,500,12,24,288,55,15,9,32,3.6666666666666665,0,1,133.7375178316691,10000_10000_020_12_24_0_1_009_032,4.03,87.82,81.94
10000,10000,20,500,500,12,24,288,55,15,9,32,3.6666666666666665,1,1,93.61626248216835,10000_10000_020_12_24_1_1_009_032,3.83,51.9,45.92
10000,10000,20,500,500,12,24,288,62,13,8,36,4.769230769230768,0,1,133.7375178316691,10000_10000_020_12_24_0_1_008_036,3.14,86.01,80.57
10000,10000,20,500,500,12,24,288,62,13,8,36,4.769230769230768,1,1,93.61626248216835,10000_10000_020_12_24_1_1_008_036,3.45,50.77,45.7
10000,10000,20,500,500,12,26,312,38,20,13,24,1.9,0,1,123.45001646000222,10000_10000_020_12_26_0_1_013_024,5.29,86.13,78.54
10000,10000,20,500,500,12,26,312,38,20,13,24,1.9,1,1,86.41501152200155,10000_10000_020_12_26_1_1_013_024,2.12,47.3,43.29
10000,10000,20,500,500,12,26,312,41,19,12,26,2.1578947368421053,0,1,123.45001646000222,10000_10000_020_12_26_0_1_012_026,2.16,82.87,80.2
10000,10000,20,500,500,12,26,312,41,19,12,26,2.1578947368421053,1,1,86.41501152200155,10000_10000_020_12_26_1_1_012_026,5.41,51.79,45.25
10000,10000,20,500,500,12,28,336,31,23,16,21,1.3478260869565215,0,1,114.63215814143065,10000_10000_020_12_28_0_1_016_021,4.46,87.38,81.31
10000,10000,20,500,500,12,28,336,31,23,16,21,1.3478260869565215,1,1,80.24251069900144,10000_10000_020_12_28_1_1_016_021,1.86,45.88,42.15
